count, mergeSort
10000,0.719200
50000,4.878600
100000,8.589200
500000,41.803300
1000000,85.050400
10000,0.688500
50000,3.877600
100000,7.811400
500000,42.477300
1000000,84.521800
10000,0.691500
50000,3.858700
100000,8.678500
500000,41.993800
1000000,84.613100
10000,0.688500
50000,4.223700
100000,7.808000
500000,41.316000
1000000,85.778900
10000,0.686600
50000,3.752700
100000,7.653200
500000,43.044900
1000000,86.408200
10000,0.690000
50000,4.283500
100000,7.959100
500000,41.299300
1000000,83.961300
10000,0.708600
50000,4.118700
100000,7.942500
500000,42.477900
1000000,85.057900
10000,0.694300
50000,3.724500
100000,7.920100
500000,41.166600
1000000,84.519600
10000,0.737000
50000,4.223000
100000,8.209900
500000,40.765900
1000000,84.395300
10000,0.691800
50000,3.720800
100000,8.120200
500000,40.715800
1000000,84.680500
10000,0.734200
50000,3.727100
100000,8.091300
500000,41.444500
1000000,85.003200
10000,0.688800
50000,3.715800
100000,7.793000
500000,41.868000
1000000,86.342100
10000,0.693900
50000,3.693100
100000,8.117000
500000,42.753400
1000000,84.838100
10000,0.808300
50000,3.693100
100000,7.642600
500000,41.155500
1000000,84.344700
10000,0.694000
50000,3.789200
100000,8.011000
500000,42.209700
1000000,84.319600
10000,0.696000
50000,3.912900
100000,8.044700
500000,41.697500
1000000,86.072500
10000,0.701000
50000,3.709100
100000,7.556100
500000,40.518000
1000000,85.792300
10000,0.693100
50000,3.749300
100000,8.273600
500000,41.520000
1000000,83.870900
10000,0.692700
50000,3.729500
100000,7.627000
500000,42.528600
1000000,85.936900
10000,0.782500
50000,3.673600
100000,7.543500
500000,40.661600
1000000,84.755600
10000,0.706100
50000,4.186200
100000,8.385300
500000,42.337400
1000000,83.940500
10000,0.685400
50000,4.111200
100000,7.598900
500000,40.817100
1000000,84.578900
10000,0.700800
50000,3.738500
100000,8.010200
500000,41.249100
1000000,85.978900
10000,0.684700
50000,4.392200
100000,7.859400
500000,40.648000
1000000,83.643600
10000,0.693200
50000,3.995800
100000,7.644000
500000,42.483100
1000000,83.374100
10000,0.691200
50000,3.731300
100000,7.869100
500000,41.628900
1000000,85.115000
10000,0.700500
50000,3.667100
100000,8.073500
500000,40.746700
1000000,83.592600
10000,0.691600
50000,3.654200
100000,7.706500
500000,40.525900
1000000,82.925200
10000,0.685500
50000,4.468500
100000,7.654300
500000,41.352100
1000000,85.318500
10000,0.689900
50000,3.684000
100000,7.807400
500000,40.714500
1000000,83.412600
10000,0.692600
50000,3.749400
100000,8.049500
500000,40.950900
1000000,84.925300
10000,0.849200
50000,3.720200
100000,7.932400
500000,41.139800
1000000,83.865500
10000,0.688000
50000,3.689300
100000,7.626500
500000,40.903000
1000000,85.243600
10000,0.690400
50000,4.469700
100000,7.764600
500000,40.482600
1000000,84.947100
10000,0.687900
50000,3.696700
100000,7.615300
500000,40.719500
1000000,83.566600
10000,0.731600
50000,3.891100
100000,7.664600
500000,41.428900
1000000,84.822400
10000,0.684800
50000,3.749700
100000,7.605900
500000,41.284800
1000000,83.883800
10000,0.686800
50000,3.711100
100000,7.637200
500000,40.476700
1000000,87.824600
10000,0.725900
50000,3.865100
100000,7.847000
500000,40.532600
1000000,83.749900
10000,0.702200
50000,3.716600
100000,7.799400
500000,41.178500
1000000,84.250100
10000,0.691300
50000,3.683200
100000,7.778300
500000,41.378900
1000000,84.603700
10000,0.699700
50000,3.757000
100000,7.619500
500000,41.937800
1000000,84.082800
10000,0.843100
50000,3.688000
100000,7.786800
500000,40.832600
1000000,84.932900
10000,0.689900
50000,3.714400
100000,8.183400
500000,40.888500
1000000,83.734300
10000,0.689800
50000,3.720500
100000,7.661000
500000,41.251600
1000000,87.338000
10000,0.690100
50000,3.727400
100000,7.559000
500000,41.893400
1000000,85.147700
10000,0.999500
